embed_dim,hidden_dim,num_layers,dropout,lr,batch_size,use_pos_weight,epochs,patience,early_stop_on,val_acc,val_precision,val_recall,val_f1,val_roc_auc,val_threshold,test_acc,test_precision,test_recall,test_f1,test_roc_auc
128,128,1,0.2,0.001,32,True,6,2,roc_auc,0.5492957746478874,0.49019607843137253,0.8064516129032258,0.6097560975609756,0.6112903225806452,0.475,0.5918367346938775,0.5588235294117647,0.7916666666666666,0.6551724137931034,0.6554166666666666
128,64,1,0.2,0.0003,16,True,6,2,roc_auc,0.43661971830985913,0.43661971830985913,1.0,0.6078431372549019,0.6096774193548388,0.1,0.4897959183673469,0.4897959183673469,1.0,0.6575342465753424,0.6458333333333334
64,256,2,0.5,0.0003,16,False,6,2,roc_auc,0.43661971830985913,0.43661971830985913,1.0,0.6078431372549019,0.6096774193548387,0.1,0.4897959183673469,0.4897959183673469,1.0,0.6575342465753424,0.5170833333333333
64,256,1,0.2,0.0005,16,False,6,2,roc_auc,0.5774647887323944,0.5106382978723404,0.7741935483870968,0.6153846153846154,0.6096774193548387,0.5,0.5306122448979592,0.5151515151515151,0.7083333333333334,0.5964912280701754,0.5620833333333334
128,128,1,0.5,0.001,16,True,6,2,roc_auc,0.49295774647887325,0.4603174603174603,0.9354838709677419,0.6170212765957447,0.6088709677419355,0.17500000000000002,0.4897959183673469,0.48936170212765956,0.9583333333333334,0.647887323943662,0.5666666666666667
128,256,2,0.5,0.0003,16,True,6,2,roc_auc,0.49295774647887325,0.45901639344262296,0.9032258064516129,0.6086956521739131,0.6088709677419354,0.475,0.5612244897959183,0.5294117647058824,0.9375,0.6766917293233082,0.5854166666666667
128,256,2,0.2,0.001,32,False,6,2,roc_auc,0.6056338028169014,0.5365853658536586,0.7096774193548387,0.6111111111111112,0.6080645161290323,0.42500000000000004,0.6836734693877551,0.6440677966101694,0.7916666666666666,0.7102803738317757,0.6804166666666667
128,256,1,0.2,0.001,32,True,6,2,roc_auc,0.5070422535211268,0.46875,0.967741935483871,0.631578947368421,0.6080645161290322,0.125,0.5204081632653061,0.5058823529411764,0.8958333333333334,0.6466165413533834,0.6579166666666668
64,64,1,0.2,0.0005,16,False,6,2,roc_auc,0.5211267605633803,0.47368421052631576,0.8709677419354839,0.6136363636363636,0.6080645161290322,0.45000000000000007,0.5510204081632653,0.5303030303030303,0.7291666666666666,0.6140350877192983,0.62875
256,128,2,0.5,0.0005,16,True,6,2,roc_auc,0.43661971830985913,0.43661971830985913,1.0,0.6078431372549019,0.607258064516129,0.1,0.4897959183673469,0.4897959183673469,1.0,0.6575342465753424,0.6308333333333334
256,128,2,0.5,0.0005,16,False,6,2,roc_auc,0.43661971830985913,0.43661971830985913,1.0,0.6078431372549019,0.607258064516129,0.1,0.4897959183673469,0.4897959183673469,1.0,0.6575342465753424,0.6920833333333334
128,256,2,0.5,0.001,16,False,6,2,roc_auc,0.43661971830985913,0.43661971830985913,1.0,0.6078431372549019,0.6064516129032258,0.1,0.4897959183673469,0.4897959183673469,1.0,0.6575342465753424,0.5716666666666667
64,256,1,0.5,0.001,16,False,6,2,roc_auc,0.4788732394366197,0.45588235294117646,1.0,0.6262626262626263,0.6064516129032258,0.25,0.5102040816326531,0.5,1.0,0.6666666666666666,0.5829166666666666
